# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
11	ussime	wasāmu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	7	conj	7:conj	u₂-si-me

# sent_id = Q006013-58
# text = ina ūmešuma Aššur-dan iššak Aššur mār Tukulti-apil-Ešarra iššak Aššurma x ana muhhiša iš-x
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2-4	ūmešuma	_	_	_	_	_	_	_	_
2	ūme	ūmu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	17	obl	17:obl	u₄-me-šu₂-ma
3	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	2	det	2:det	_
4	ma	_	PART	_	_	2	det	2:det	_
5	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	17	nsubj	17:nsubj	{m}aš-šur-KAL-an
6	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	5	appos	5:appos	ŠID
7	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	6	nmod:poss	6:nmod:poss	aš-šur
8	mār	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	5	appos	5:appos	DUMU
9	Tukulti-apil-Ešarra	Tukulti-apil-Ešarra_I	PROPN	RN	Case=Undefined|Gender=M	8	nmod:poss	8:nmod:poss	{GIŠ}tukul-ti-A-e₂-šar₂-ra
10	iššak	iššiakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	appos	9:appos	ŠID
11-12	Aššurma	_	_	_	_	_	_	_	_
11	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	aš-šur-ma
12	ma	_	PART	_	_	11	det	11:det	_
13	x	_	X	u	_	_	_	_	x
14	ana	ana	ADP	PRP	_	15	case	15:case	a-na
15-16	muhhiša	_	_	_	_	_	_	_	_
15	muhhi	muhhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	17	obl	17:obl	muh-hi-ša
16	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	15	det	15:det	_
17	iš-x	_	VERB	u	_	0	root	0:root	iš-x

# sent_id = Q006013-59
# text = x dalāt ašūhi ṣīrāte ēpuš ina bābātīša urette
1	x	_	X	u	_	_	_	_	x
2	dalāt	daltu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	5	obj	5:obj	_
3	ašūhi	ašūhu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	2	nmod:poss	2:nmod:poss	{GIŠ}a-šu-hi
4	ṣīrāte	ṣīru	ADJ	AJ	Case=Undefined|Gender=F|Number=Pl	2	amod	2:amod	ṣi-ra-a-te
5	ēpuš	epēšu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	e-pu-uš
6	ina	ina	ADP	PRP	_	7	case	7:case	i-na
7-8	bābātīša	_	_	_	_	_	_	_	_
7	bābāti	bābu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	9	obl	9:obl	KA₂.MEŠ-ša
8	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	7	det	7:det	_
9	urette	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	5	conj	5:conj	_

# sent_id = Q006013-60
# text = narêya alṭur ina qerbiša aškun
1-2	narêya	_	_	_	_	_	_	_	_
1	narê	narû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	3	obj	3:obj	{NA₄}NA.RU₂.A.MEŠ-ia
2	ya	_	PRON	_	Number=Sg|Person=1	1	det	1:det	_
3	alṭur	šaṭāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	al-ṭu-ur
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5-6	qerbiša	_	_	_	_	_	_	_	_
5	qerbi	qerbu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	7	obl	7:obl	qer-bi-ša
6	ša	_	PRON	_	Gender=F|Number=Sg|Person=3	5	det	5:det	_
7	aškun	šakānu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	aš-kun

# sent_id = Q006013-61
# text = rubû arkû ina šarrāni mārēya ša Aššur inabbûšu anhūt ēkalli šuāti luddiš x šumī šaṭra ana ašrišu lutēr
1	rubû	rubû	NOUN	N	Case=Nom|Gender=M|Nounbase=Free|Number=Sg	14	nsubj	14:nsubj	NUN-u₂
2	arkû	warkû	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	1	amod	1:amod	EGIR-u₂
3	ina	ina	ADP	PRP	_	4	case	4:case	i-na
4	šarrāni	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	14	obl	14:obl	MAN.MEŠ
5-6	mārēya	_	_	_	_	_	_	_	_
5	mārē	māru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	4	appos	4:appos	DUMU.DUMU-ya
6	ya	_	PRON	_	Number=Sg|Person=1	5	det	5:det	_
7	ša	ša	PRON	REL	_	9	obj	9:obj	ša
8	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	9	nsubj	9:nsubj	aš-šur
9-10	inabbûšu	_	_	_	_	_	_	_	_
9	inabbû	nabû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	1	acl:relcl	1:acl:relcl	i-na-ab-bu-šu
10	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	9	obj	9:obj	_
11	anhūt	anhūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	14	obj	14:obj	an-hu-ut
12	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Free|Number=Sg	11	nmod:poss	11:nmod:poss	_
13	šuāti	šuāti	DET	IP	Gender=F|Number=Sg|Person=3	12	amod	12:amod	šu-a-ti
14	luddiš	edēšu	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=D	0	root	0:root	lu-ud-diš
15	x	_	X	u	_	_	_	_	x
16-17	šumī	_	_	_	_	_	_	_	_
16	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	22	obj	22:obj	MU
17	ī	_	PRON	_	Number=Sg|Person=1	16	det	16:det	_
18	šaṭra	šaṭru	ADJ	AJ	Case=Acc|Gender=M|Number=Sg	16	amod	16:amod	ša-aṭ-ra
19	ana	ana	ADP	PRP	_	20	case	20:case	a-na
20-21	ašrišu	_	_	_	_	_	_	_	_
20	ašri	ašru	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	22	obl	22:obl	aš-ri-šu
21	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	20	det	20:det	_
22	lutēr	târu	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=D	14	conj	14:conj	lu-te-er

# sent_id = Q006013-62
# text = Aššur ikribīšu išemme x
1	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	4	nsubj	4:nsubj	aš-šur
2-3	ikribīšu	_	_	_	_	_	_	_	_
2	ikribī	ikribu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	4	obj	4:obj	ik-ri-bi-šu
3	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	2	det	2:det	_
4	išemme	šemû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Present|Verbstem=G	0	root	0:root	i-še₂₀-me
5	x	_	X	u	_	_	_	_	x

# sent_id = Q006013-63
# text = ša narêya u šumī šaṭru ipaššiṭuma šumšu išaṭṭaru
1	ša	ša	PRON	DET	_	8	nsubj	8:nsubj	ša
2-3	narêya	_	_	_	_	_	_	_	_
2	narê	narû	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	8	obj	8:obj	na-re-e-ia
3	ya	_	PRON	_	Number=Sg|Person=1	2	det	2:det	_
4	u	u	CCONJ	CNJ	_	5	cc	5:cc	u
5-6	šumī	_	_	_	_	_	_	_	_
5	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	2	conj	2:conj	šu-mi
6	ī	_	PRON	_	Number=Sg|Person=1	5	det	5:det	_
7	šaṭru	šaṭru	ADJ	AJ	Case=Undefined|Gender=M|Number=Sg	5	amod	5:amod	šaṭ-ru
8-9	ipaššiṭuma	_	_	_	_	_	_	_	_
8	ipaššiṭu	pašāṭu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	0	root	0:root	i-pa-ši-ṭu-ma
9	ma	_	CCONJ	_	_	8	dep	8:dep	_
10-11	šumšu	_	_	_	_	_	_	_	_
10	šum	šumu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	12	obj	12:obj	MU-šu
11	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	10	det	10:det	_
12	išaṭṭaru	šaṭāru	VERB	V	Finiteness=Finite|Gender=Undefined|Mood=Indicative|Number=Sg|Person=3|Subordinative=Yes|Tense=Present|Verbstem=G	8	conj	8:conj	i-ša-ṭa-ru

# sent_id = Q006013-64
# text = x īnīšu
1	x	_	X	u	_	_	_	_	x
2-3	īnīšu	_	_	_	_	_	_	_	_
2	īnī	īnu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	0	root	0:root	IGI.II.MEŠ-šu
3	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	2	det	2:det	_

# sent_id = Q006013-65
# text = likkalmušu
1-2	likkalmušu	_	_	_	_	_	_	_	_
1	likkalmū	nekelmû	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Pl|Person=3|Verbstem=N	0	root	0:root	li-ik-kal-mu-šu
2	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	1	obj	1:obj	_

# sent_id = Q006013-66
# text = x x sunqu hušahhu bubūtu ana mātišu liddi
1	x	_	X	u	_	_	_	_	x
2	x	_	X	u	_	_	_	_	x
3	sunqu	sunqu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Free|Number=Sg	9	obj	9:obj	su-un-qu
4	hušahhu	hušahhu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Free|Number=Sg	3	conj	3:conj	hu-ša-a-hu
5	bubūtu	bubūtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Sg	3	conj	3:conj	bu-bu-tu
6	ana	ana	ADP	PRP	_	7	case	7:case	a-na
7-8	mātišu	_	_	_	_	_	_	_	_
7	māti	mātu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	9	obl	9:obl	KUR-šu
8	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	7	det	7:det	_
9	liddi	nadû	VERB	V	Finiteness=Finite|Gender=M|Mood=Precative|Number=Sg|Person=3|Verbstem=G	0	root	0:root	li-di

# sent_id = Q006013-67
# text = {ITI}x UD.x.KAM
1	{ITI}x	_	PROPN	u	_	0	root	0:root	{ITI}x
2	UD.x.KAM	_	ADJ	u	_	1	amod	1:amod	UD.x.KAM

# sent_id = Q006013-68
# text = līmu x-dannani ša-pān-ēkalli
1	līmu	līmu	NOUN	N	Case=Nom|Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	li-mu
2	x-dannani	x-dannani	PROPN	PN	Gender=M	1	nmod:poss	1:nmod:poss	{m}x-dan-na-ni
3	ša-pān-ēkalli	ša-pān-ēkalli	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Sg	2	appos	2:appos	_

